"simulation","mean_words_per_extracted_text_block"
644,382.527777777778
645,326.722222222222
646,305.805555555556
647,307.888888888889
648,304.666666666667
649,269.277777777778
650,327.083333333333
651,349.388888888889
652,326.388888888889
653,286
654,289.388888888889
655,264.444444444444
656,285.833333333333
657,311.083333333333
658,302.527777777778
659,394.472222222222
660,328.666666666667
661,362.166666666667
662,225
663,273.5
664,304.694444444444
665,299.5
666,330.194444444444
667,287.555555555556
668,293.472222222222
669,289.166666666667
670,328.083333333333
671,364.277777777778
672,354.972222222222
673,265.305555555556
674,316.25
675,343.555555555556
676,303.666666666667
677,296.25
678,266.333333333333
679,269.805555555556
680,314.194444444444
681,308.083333333333
682,347.75
683,335.25
684,354.777777777778
685,271.222222222222
686,319.527777777778
687,308.222222222222
688,194.222222222222
689,296.305555555556
690,324.916666666667
691,244.194444444444
692,355.472222222222
693,262.416666666667
694,301.777777777778
695,300.333333333333
696,234.694444444444
697,312.722222222222
698,281.055555555556
699,372.583333333333
700,290.416666666667
701,269.972222222222
702,268.805555555556
703,294.583333333333
704,308.361111111111
705,268.805555555556
706,302.833333333333
707,330.277777777778
708,343.138888888889
709,336.222222222222
710,291.916666666667
711,256.833333333333
712,312.166666666667
713,313.444444444444
714,334.805555555556
715,300.25
716,372
717,257.805555555556
718,271.527777777778
719,355.888888888889
720,337.222222222222
721,329.638888888889
722,310.138888888889
723,328.972222222222
724,299.722222222222
725,228.222222222222
726,297.944444444444
727,362.861111111111
728,314.805555555556
729,307.833333333333
730,367.555555555556
731,300.666666666667
732,283.888888888889
733,313.888888888889
734,255.027777777778
735,311.694444444444
736,305.722222222222
737,278.027777777778
738,343.888888888889
739,304.972222222222
740,306.277777777778
741,383.194444444444
742,270.527777777778
743,270.888888888889
744,329.833333333333
745,306.75
746,311
747,298.194444444444
748,317.083333333333
749,238.472222222222
750,283.611111111111
751,264.166666666667
752,338.833333333333
753,270.638888888889
754,316.25
755,346.777777777778
756,321.666666666667
757,314.472222222222
758,309.083333333333
759,299.361111111111
760,341.833333333333
761,374.416666666667
